"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_ELEICAO";"NM_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"NR_PROTOCOLO_REGISTRO";"DT_REGISTRO";"NR_CNPJ_EMPRESA";"NM_EMPRESA";"NM_EMPRESA_FANTASIA";"DS_CARGOS";"DT_INICIO_PESQUISA";"DT_FIM_PESQUISA";"QT_ENTREVISTADOS";"CD_CONRE";"NM_ESTATISTICO_RESP";"VR_PESQUISA";"NR_CPF_CNPJ_CONTRATANTE";"NM_CONTRATANTE";"DS_ORIGEM_RECURSO";"NR_CPF_CNPJ_PAGANTE";"NM_PAGANTE_PESQUISA";"DS_METODOLOGIA_PESQUISA";"DS_PLANO_AMOSTRAL";"DS_SISTEMA_CONTROLE";"DS_DADO_MUNICIPIO"
"24/08/2022";"00:10:36";"2018";"5";"Eleições Gerais 2018";"PR";"PR";"PARANÁ";"PR000782018";"19/05/2018";"00481961000165";"RADAR INTELIGENCIA - EIRELI";"RADAR ESTATISTICA";"Governador, Senador";"18/05/2018";"23/05/2018";"1200";"8159 - A";"José Mario Lima";"40000,00";"00481961000165";"RADAR INTELIGENCIA - EIRELI";"#NULO#";"00481961000165";"RADAR INTELIGENCIA - EIRELI";"Pesquisa quantitativa que consiste na realização de entrevistas pessoais, com aplicação de questionários estruturados e padronizados junto a uma amostra representativa de eleitorado em estudo (Estado do Paraná). ";"A amostra desta pesquisa foi de 1200 entrevistas, distribuídas da seguinte forma: Sexo - masculino: 47,5%, feminino: 52,5%.  Idade - 16 a 24 anos: 15,50%, 25 a 34 anos: 20,30%, 35 a 44 anos: 19,92%, 45 a 59 anos: 26,00%, mais de 59 anos: 18,33% . Grau de Instrução - Até ensino fundamental completo: 41,42%, Ensino médio completo e incompleto: 38,5%, Ensino Superior completo e incompleto: 20,08%. Renda - Até 2 salários mínimos: 59,25%, de 2 a 5 salários mínimos: 27,83%, mais de 5 salários mínimos: 12,92%. O intervalo de confiança é de 95,5 %. E a margem de erro é de 2,9 pontos percentuais para mais ou para menos. Fontes: Sexo, Idade, Grau de Instrução - TSE Abril /2018. Renda Familiar -  IBGE/ PNAD 2015, tabela 1946/ Estado do Paraná.";"Todas as entrevistas serão conferidas individualmente, criticadas por um profissional responsável pelo controle de qualidade da empresa e posteriormente tabuladas em um software especifico para este fim. Todo o trabalho de coleta de dados (entrevistas) esta sendo devidamente coordenado e fiscalizado por um profissional treinado com esse objetivo. Utilizaremos grades de cotas de sexo, idade, grau de instrução e renda familiar proporcionalmente, de acordo com o perfil do eleitor do universo pesquisado. Serão checados 20% dos questionários, por telefone, solicitado junto ao respondente no momento da entrevista, com sua plena concordância. ";"A relação das localidades selecionadas para aplicação da amostra será apresentada até o sétimo dia seguinte ao registro da pesquisa, conforme expresso no art. 2º, §6º da Resolução 23.549/2017 do TSE.  A amostra foi dividida em 09 regiões, sendo elas: Curitiba - 208 entrevistas. Região Metropolitana e Litoral - Araucária - 25 entrevistas, Campo Largo - 22 entrevistas, Colombo - 38 entrevistas, Paranaguá - 28 entrevistas, São José dos Pinhais - 47 entrevistas, Pinhais - 24 entrevistas. Região Norte Pioneiro - Apucarana - 28 entrevistas, Arapongas - 24 entrevistas, Cambé  - 22 entrevistas, Cornélio Procópio - 12 entrevistas, Rolândia - 14 entrevistas , Londrina - 112 entrevistas. Região do Norte Novo - Mandaguari - 7 entrevistas, Marialva - 7 entrevistas, Maringá - 68 entrevistas, Paranavaí - 17 entrevistas, Sarandi - 16 entrevistas. Região Noroeste - Campo Mourão - 23 entrevistas, Cianorte - 18 entrevistas, Umuarama  - 27 entrevistas, Cruzeiro do Oeste - 6 entrevistas, Goioerê - 8 entrevistas, Ubiratã - 5 entrevistas, Região Campos Gerais - Castro - 13 entrevistas, Ponta Grossa - 60 entrevistas, Telêmaco Borba - 14 entrevistas. Região Centro Sul - Guarapuava - 37 entrevistas, Irati - 13 entrevistas, Laranjeiras do Sul - 7 entrevistas, Pitanga - 09 entrevistas, Prudentópolis - 11 entrevistas, São Mateus do Sul - 9 entrevistas, União da Vitória - 13 entrevistas. Região Oeste - Cascavel - 51 entrevistas, Foz do Iguaçu - 49 entrevistas, Marechal Candido Rondon - 9 entrevistas, Medianeira - 8 entrevistas, Toledo - 23 entrevistas. Região Sudoeste - Francisco Beltrão - 20 entrevistas, Pato Branco - 18 entrevistas, Chopinzinho - 6 entrevistas, Coronel Vivida - 5 entrevistas, Dois Vizinhos - 9 entrevistas, Palmas - 10 entrevistas."
"24/08/2022";"00:10:36";"2018";"5";"Eleições Gerais 2018";"PR";"PR";"PARANÁ";"PR002702018";"18/09/2018";"13776203000116";"TONKOVITCH & TONKOVITCH PESQUISAS LTDA";"ARBEIT PESQUISAS";"Senador, Governador";"19/09/2018";"23/09/2018";"1500";"8250-A";"Jimmy Adans";"60000,00";"13776203000116";"TONKOVITCH & TONKOVITCH PESQUISAS LTDA";"#NULO#";"13776203000116";"TONKOVITCH & TONKOVITCH PESQUISAS LTDA";"Pesquisa quantitativa, representativa do eleitorado do estado, com entrevistas pessoais através de questionários padronizados e estruturados para a coleta.";"PLANO AMOSTRAL: Pesquisa junto a eleitores realizada em municípios representativos do eleitorado do Estado do Paraná. A amostra da pesquisa é de 1.500 entrevistas, distribuídas da seguinte forma: a) SEXO: Masculino: 48%. Feminino: 52%. b) FAIXA ETÁRIA: *16-24 ANOS: 15%. *25-34 ANOS: 20%. *35-44 ANOS: 20%. *45-59 ANOS: 26%. *MAIS DE 59 ANOS: 19%. c) GRAU DE INSTRUÇÃO: ATÉ ENSINO FUNDAMENTAL COMPLETO: 41%. ENSINO MÉDIO INCOMPLETO E COMPLETO: 39%. SUPERIOR INCOMPLETO E COMPLETO: 20%. d) NÍVEL ECONÔMICO: *ATÉ DOIS SALÁRIOS MÍNIMOS: 51%. *DE DOIS A CINCO SALÁRIOS MÍNIMOS: 28%. *MAIS DE 5 SALÁRIOS MÍNIMOS: 13%. *SEM RENDIMENTOS: 8%. As faixas de renda consideram a Tabela 1946 do PNAD 2015. O plano amostral é formado com percentuais representativas do eleitorado pesquisado quanto a sexo, idade e grau de instrução baseados nos dados do TSE/2018. Está prevista ponderação das variáveis sexo, faixa etária, grau de instrução e renda caso ocorram diferenças entre os resultados obtidos em campo e os percentuais previstos para a amostra. A margem de erro para esta pesquisa é de 2,5 pontos percentuais para mais ou para menos, dentro de um intervalo de confiança de 95%. FONTE DOS DADOS: Renda: PNAD 2015 - Tabela 1946 (disponível em https://sidra.ibge.gov.br/tabela/1946) | Sexo, Idade e Grau de Instrução: TSE/Julho-2018.";"Todas as entrevistas serão conferidas individualmente, criticadas por um profissional responsável pelo controle de qualidade da empresa e posteriormente tabuladas em um software especifico para este fim. Todo o trabalho de coleta de dados (entrevistas) está sendo devidamente coordenado e fiscalizado por um profissional treinado com esse objetivo. Utilizaremos grades de cotas de sexo, idade, grau de instrução e renda familiar proporcionalmente, de acordo com o perfil do eleitor do universo pesquisado. Serão checados 20% dos questionários, por telefone, solicitado junto ao respondente no momento da entrevista, com sua plena concordância.";"Os dados relativos aos municípios abrangidos pela pesquisa estão disponíveis em arquivo PDF anexo ao registro."
"24/08/2022";"00:10:36";"2018";"5";"Eleições Gerais 2018";"PR";"PR";"PARANÁ";"PR019002018";"30/08/2018";"00481961000165";"RADAR INTELIGENCIA - EIRELI";"RADAR ESTATISTICA";"Governador, Senador";"30/08/2018";"04/09/2018";"1494";"8159-A";"José Mario de Lima";"56000,00";"00838925000106";"ADI - ASSOCIACAO DOS JORNAIS DIARIOS DO INTERIOR DO PAR / A D I";"Recursos Próprios";"00481961000165";"RADAR INTELIGENCIA - EIRELI";"Pesquisa quantitativa que consiste na realização de entrevistas pessoais, com aplicação de questionários estruturados e padronizados junto a uma amostra representativa de eleitorado em estudo (Estado do Paraná). ";"A amostra desta pesquisa foi de 1.494 entrevistas, distribuídas da seguinte forma: Sexo - masculino: 48%, feminino: 52%. Idade - 16 a 24 anos: 15%, 25 a 34 anos: 20%, 35 a 44 anos: 20%, 45 a 59 anos: 26%, mais de 59 anos: 19% . Grau de Instrução - Até ensino fundamental completo: 41%, Ensino médio completo e incompleto: 39%, Ensino Superior completo e incompleto: 20%. Nível Econômico - Até 2 salários mínimos: 51%, de 2 a 5 salários mínimos: 28%, mais de 5 salários mínimos: 13%, Sem rendimentos: 8%.Está prevista ponderação das variáveis sexo, faixa etária, grau de instrução e renda caso ocorram diferenças entre os resultados obtidos em campo e os percentuais previstos para a amostra. O intervalo de confiança é de 95,5 %. E a margem de erro é de 2,6 pontos percentuais para mais ou para menos. Fontes: Sexo, Idade, Grau de Instrução/TSE/ Julho de 2018. Nível Econômico/IBGE/PNAD /Tabela 1946/Ano  2015.";"Todas as entrevistas serão conferidas individualmente, criticadas por um profissional responsável pelo controle de qualidade da empresa e posteriormente tabuladas em um software especifico para este fim. Todo o trabalho de coleta de dados (entrevistas) esta sendo devidamente coordenado e fiscalizado por um profissional treinado com esse objetivo. Utilizaremos grades de cotas de sexo, idade, grau de instrução e renda familiar proporcionalmente, de acordo com o perfil do eleitor do universo pesquisado. Serão checados 20% dos questionários, por telefone, solicitado junto ao respondente no momento da entrevista, com sua plena concordância. ";"Tabela em anexo."
"24/08/2022";"00:10:36";"2018";"5";"Eleições Gerais 2018";"PR";"PR";"PARANÁ";"PR034152018";"27/09/2018";"84782101000151";"INSTITUTO BRASIL DE PESQUISAS S/S LTDA";"INSTITUTO BRASIL CONSULTORIA E PESQUISAS DE OPINIAO";"Deputado Federal, Deputado Estadual";"29/09/2018";"02/10/2018";"401";"3989";"CLODOALDO ROLDÃO TABORDA CHUBA SOBRINHO";"7000,00";"84782101000151";"INSTITUTO BRASIL DE PESQUISAS S/S LTDA";"#NULO#";"84782101000151";"INSTITUTO BRASIL DE PESQUISAS S/S LTDA";"Pesquisa com metodologia quantitativa, considerando a realização de entrevistas pessoais e presenciais, mediante aplicação de questionário estruturado junto a uma amostra representativa do universo de eleitores do estudo. O conjunto do eleitorado do município de Cianorte com 16 anos ou mais foi tomado como universo da pesquisa.";"Universo: Eleitorado do município de Cianorte (54.869 eleitores), com 16 anos ou mais. Tamanho da amostra: A amostra prevista estatisticamente é de 401 entrevistas, selecionadas pelo método de Probabilidade Proporcional ao Tamanho (PPT), compreendendo a coleta a área do município, incluídos os distritos de São Lourenço e Vidigal, com amostra proporcional ao número de eleitores da urna de cada distrito, conforme cadastro TSE/Locais de votação e endereço das seções. Técnica de amostragem: A amostra é estratificada segundo combinação das variáveis sexo e faixa etária do eleitorado. Os estratos terão tamanho proporcional a esses segmentos para que o resultado seja representativo do eleitorado do município, de acordo com dados do TSE (eleitorado atualizado pelo Tribunal Superior Eleitoral até Julho/2018). Os tamanhos desses segmentos são: Sexo masculino: 46,38%, feminino 53,62%, Idades:16 a 24 anos: 13,85%, 25 a 34 anos: 20,16%, 35 a 44 anos: 19,12%, 45 a 59 anos: 27,01% e 60 anos ou mais: 19,86%. Ponderação dos resultados: Está prevista eventual ponderação para correção nos tamanhos dos estratos, considerando as variáveis sexo e faixa etária, de acordo com os percentuais detalhados anteriormente. Para as variáveis grau de instrução e nível econômico do entrevistado (renda familiar mensal), o fator previsto para ponderação é 1 (resultados obtidos em campo e reais do momento econômico familiar). Grau de Instrução segundo perfil de escolaridade do eleitorado do município: Analfabeto: 2,26%, Sabe ler e escrever: 4,50%, Ensino Fundamental Incompleto: 29,21%, Ensino Fundamental Completo: 6,83%, Ensino Médio Incompleto: 11,76%, Ensino Médio Completo: 25,20%, Ensino Superior Incompleto: 6,18%, Ensino Superior Completo: 14,06% e Não informado: 0,00%. Dentre o perfil envolvendo o nível econômico dos entrevistados, estão a população economicamente ativa: Sexo masculino: 22.451 pessoas e feminino: 19.582 pessoas, perfazendo o total de 42.033 pessoas, 60,08% da população considerada economicamente ativa e 39,92% não economicamente ativos, conforme Censo IBGE 2010. Área física: Município de Cianorte, para abordagem aleatória a partir do perfil apresentado acima de maneira a oportunizar a uniformidade da coleta. A relação completa dos bairros incluídos no levantamento será encaminhada a esse tribunal posteriormente, até o sétimo dia seguinte à data de registro da pesquisa, conforme a Resolução 23.549/2017 do TSE, no art.2º §6º. Margem de Erro: A margem de erro estimada para o total da amostra é de 3 pontos percentuais para mais ou para menos, considerando um nível de confiança de 95% para uma amostra representativa aleatória simples. Os intervalos de confiança serão calculados considerando os resultados obtidos para um nível de confiança de 95%. Fonte dos Dados para Planejamento Estatístico/Científico da Pesquisa: Censo IBGE 2010, Estatística do Eleitorado TSE (Julho/2018), PNAD/IBGE, Caderno IPARDES, 2018.";"Os pesquisadores envolvidos na realização da pesquisa são treinados e acompanhados por professores mestres e doutores da área e demais profissionais que compreendem o quadro técnico do Instituto Brasil de Pesquisas S/S Ltda. e recebem instruções específicas para cada projeto realizado eliminando assim a possibilidade de distorção da informação por parte dos colaboradores. A equipe possui experiência e é supervisionada por um coordenador de campo por tempo integral. São checados no mínimo, 30% dos questionários de cada pesquisador, seja in loco por supervisores de campo ou, posteriormente. Internamente, todo o material é verificado novamente e codificado. Antes do processamento final e emissão dos resultados, realiza-se processo de consistência dos dados através de software estatístico específico para verificação das respostas e adequação dos entrevistados aos parâmetros amostrais, devendo a pesquisa ter atingido o ponto de convergência para a sua confiabilidade. Esses parâmetros são criteriosamente analisados pela equipe técnica do Instituto e tais quesitos confere ao estudo ampla confiabilidade na informação resultante.";"A área de abrangência da coleta é o município de Cianorte/PR. A relação dos bairros selecionados para aplicação da amostra será apresentada até o 7º dia seguinte ao registro da pesquisa, conforme expresso no art. 2º, §6º da Resolução 23.549/2017 do TSE."
"24/08/2022";"00:10:36";"2018";"5";"Eleições Gerais 2018";"PR";"PR";"PARANÁ";"PR045942018";"20/06/2018";"00481961000165";"RADAR INTELIGENCIA - EIRELI";"RADAR ESTATISTICA";"Governador, Senador";"19/06/2018";"24/06/2018";"1494";"8159 - A";"José Mario Lima";"50000,00";"00481961000165";"RADAR INTELIGENCIA - EIRELI";"#NULO#";"00481961000165";"RADAR INTELIGENCIA - EIRELI";"Pesquisa quantitativa que consiste na realização de entrevistas pessoais, com aplicação de questionários estruturados e padronizados junto a uma amostra representativa de eleitorado em estudo (Estado do Paraná). ";"A amostra desta pesquisa foi de 1.494 entrevistas, distribuídas da seguinte forma: Sexo - masculino: 48%, feminino: 52%.  Idade - 16 a 24 anos: 16%, 25 a 34 anos: 20%, 35 a 44 anos: 20%, 45 a 59 anos: 26%, mais de 59 anos: 18% . Grau de Instrução - Até ensino fundamental completo: 41%, Ensino médio completo e incompleto: 39%, Ensino Superior completo e incompleto: 20%. Renda - Até 2 salários mínimos: 51%, de 2 a 5 salários mínimos: 28%, mais de 5 salários mínimos: 13%, Sem rendimentos: 8%. Está prevista ponderação das variáveis sexo, faixa etária, grau de instrução e renda caso ocorram diferenças entre os resultados obtidos em campo e os percentuais previstos para a amostra. O intervalo de confiança é de 95,5 %. E a margem de erro é de 2,6 pontos percentuais para mais ou para menos. Fontes: Sexo, Idade, Grau de Instrução - TSE. Renda -  IBGE/PNAD.";"Todas as entrevistas serão conferidas individualmente, criticadas por um profissional responsável pelo controle de qualidade da empresa e posteriormente tabuladas em um software especifico para este fim. Todo o trabalho de coleta de dados (entrevistas) esta sendo devidamente coordenado e fiscalizado por um profissional treinado com esse objetivo. Utilizaremos grades de cotas de sexo, idade, grau de instrução e renda familiar proporcionalmente, de acordo com o perfil do eleitor do universo pesquisado. Serão checados 20% dos questionários, por telefone, solicitado junto ao respondente no momento da entrevista, com sua plena concordância. ";"Tabela de distribuição das entrevistas em anexo."
"24/08/2022";"00:10:36";"2018";"5";"Eleições Gerais 2018";"PR";"PR";"PARANÁ";"PR048372018";"14/09/2018";"29842579000111";"REAL TIME BIG DATA GESTAO DE DADOS LTDA.";"REAL TIME BIG DATA";"Governador, Senador";"17/09/2018";"18/09/2018";"1200";"7655";" Augusto da Silva Rocha";"15000,00";"29842579000111";"REAL TIME BIG DATA GESTAO DE DADOS LTDA.";"#NULO#";"29842579000111";"REAL TIME BIG DATA GESTAO DE DADOS LTDA.";"Pesquisa quantitativa, que consiste na realização de entrevistas por telefone, com a aplicação de questionário estruturado junto a uma amostra, representativa do eleitorado em estudo.";"Universo: 7.971.087 eleitores (TSE). Amostra: 1200 entrevistas. Nível de Confiança: 95%. Margem de Erro: até 3 pontos percentuais para mais ou para menos. Divisão Censitária. Ponderação quanto ao sexo e faixa etária: Masculino de 16 a 24 anos (7,3%), Masculino de 25 a 34 anos (9,8%), Masculino de 35 a 44 anos (9,5%), Masculino de 45 a 59 anos (12,2%) e Masculino acima de 59 anos (8,7%). Feminino de 16 a 24 anos (7,5%), Feminino de 25 a 34 anos (10,5%), Feminino de 35 a 44 anos (10,5%), Feminino de 45 a 59 anos (13,8%) e Feminino acima de 59 anos (10,1%). Ponderação quanto ao nível de instrução: 27,9% de Analfabeto / Fundamental Incompleto, 13,3% de Lê e escreve / Fundamental Completo, 38,7% de Médio Incompleto / Médio Completo e 20,1% de Superior Incompleto / Superior Completo. Ponderação quanto a distribuição por renda mensal domiciliar: 14,1% até 1 SM, 21,8% de 1 até 2 SM, 39,3% de 2 até 5 SM, 16,7% de 5 até 10 SM e 8,0% acima de 10 SM.";"Checagem de 20% da amostra efetuada pelos supervisores. Todos os entrevistadores foram amplamente treinados e orientados tanto teoricamente quanto praticamente sobre suas responsabilidade e funções, respeitando as cotas pré-estabelecidas. A equipe está dividida em coordenadoria-geral / supervisores / entrevistadores.";"Em anexo."
"24/08/2022";"00:10:36";"2018";"5";"Eleições Gerais 2018";"PR";"PR";"PARANÁ";"PR048692018";"16/08/2018";"68802370000186";"IBOPE INTELIGENCIA PESQUISA E CONSULTORIA LTDA";"#NULO#";"Governador, Senador";"16/08/2018";"22/08/2018";"1008";"6208-A";"Márcia Cavallari Nunes";"79632,00";"76494806000145";"SOCIEDADE RADIO EMISSORA PARANAENSE SA / TV PARANAENSE, REDE PARANAENSE";"Recursos Próprios";"68802370000186";"IBOPE INTELIGENCIA PESQUISA E CONSULTORIA LTDA";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais, com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo. Pesquisa realizada no estado do Paraná.";"Representativo do eleitorado da área em estudo, elaborada em três estágios. No primeiro estágio faz-se um sorteio probabilístico dos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção. No segundo estágio faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando a população de 16 anos ou mais residente nos setores como base para tal seleção. No terceiro e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber: IDADE: 16-24 (masculino) 18% (feminino) 16%. 25-34 (masculino) 22% (feminino) 22%. 35-44 (masculino) 20% (feminino) 21%. 45-54 (masculino) 19% (feminino) 19%. 55 e+ (masculino) 21% (feminino) 23%. INSTRUÇÃO: Até Ensino Médio (masculino) 80% (feminino) 74%. Ensino Superior (masculino) 20% (feminino) 26%. NÍVEL ECONÔMICO: Economicamente ativo (masculino) 78% (feminino) 57%. Não Economicamente ativo (masculino) 22% (feminino) 43%. Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo). O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 03 (três) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra. FONTE DOS DADOS: Censo 2010 | PNADC 2016 | TSE 2018.";"Para a realização da pesquisa, utiliza-se uma equipe de entrevistadores e supervisores contratados pelo IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. devidamente treinados para o trabalho. Após os trabalhos de campo, os questionários são submetidos a uma fiscalização de cerca de 20% (vinte por cento) dos questionários aplicados pelos entrevistadores. para verificação das respostas e da adequação dos entrevistados aos parâmetros amostrais.";"A área de abrangência da coleta é Paraná. A relação das localidades selecionadas para aplicação da amostra será apresentada até o 7º dia seguinte ao registro da pesquisa, conforme expresso no art. 2º, §6º da Resolução 23.549/2017 do TSE."
"24/08/2022";"00:10:36";"2018";"5";"Eleições Gerais 2018";"PR";"PR";"PARANÁ";"PR050412018";"13/09/2018";"00481961000165";"RADAR INTELIGENCIA - EIRELI";"RADAR ESTATISTICA";"Senador, Governador";"14/09/2018";"18/09/2018";"1494";"8159-A";"José Mario Lima";"56000,00";"00838925000106";"ADI - ASSOCIACAO DOS JORNAIS DIARIOS DO INTERIOR DO PAR / A D I";"Recursos Próprios";"00481961000165";"RADAR INTELIGENCIA - EIRELI";"Pesquisa quantitativa que consiste na realização de entrevistas pessoais, com aplicação de questionários estruturados e padronizados junto a uma amostra representativa de eleitorado em estudo (Estado do Paraná). ";"A amostra desta pesquisa  será de 1.494 entrevistas, distribuídas da seguinte forma: Sexo - masculino: 48%, feminino: 52%. Idade - 16 a 24 anos: 15%, 25 a 34 anos: 20%, 35 a 44 anos: 20%, 45 a 59 anos: 26%, mais de 59 anos: 19% . Grau de Instrução - Até ensino fundamental completo: 41%, Ensino médio completo e incompleto: 39%, Ensino Superior completo e incompleto: 20%. Nível Econômico - Até 2 salários mínimos: 51%, de 2 a 5 salários mínimos: 28%, mais de 5 salários mínimos: 13%, Sem rendimentos: 8%.Está prevista ponderação das variáveis sexo, faixa etária, grau de instrução e renda caso ocorram diferenças entre os resultados obtidos em campo e os percentuais previstos para a amostra. O intervalo de confiança é de 95,5 %. E a margem de erro é de 2,6 pontos percentuais para mais ou para menos. Fontes: Sexo, Idade, Grau de Instrução -  TSE/ Julho de 2018. Nível Econômico - IBGE/PNAD  -  Tabela 1946/Ano  2015.";"Todas as entrevistas serão conferidas individualmente, criticadas por um profissional responsável pelo controle de qualidade da empresa e posteriormente tabuladas em um software especifico para este fim. Todo o trabalho de coleta de dados (entrevistas) será devidamente coordenado e fiscalizado por um profissional treinado com esse objetivo. Utilizaremos grades de cotas de sexo, idade, grau de instrução e nível econômico proporcionalmente, de acordo com o perfil do eleitor do universo pesquisado. Serão checados 20% dos questionários, por telefone, solicitado junto ao respondente no momento da entrevista, com sua plena concordância.";"A relação das localidades selecionadas para aplicação da amostra será apresentada até o sétimo dia seguinte ao registro da pesquisa, conforme expresso no art. 2º, §6º da Resolução 23.549/2017 do TSE."
"24/08/2022";"00:10:36";"2018";"5";"Eleições Gerais 2018";"PR";"PR";"PARANÁ";"PR050722018";"01/10/2018";"68802370000186";"IBOPE INTELIGENCIA PESQUISA E CONSULTORIA LTDA";"#NULO#";"Senador, Governador";"01/10/2018";"07/10/2018";"2600";"6208-A";"Márcia Cavallari Nunes";"119448,00";"68802370000186";"IBOPE INTELIGENCIA PESQUISA E CONSULTORIA LTDA";"#NULO#";"68802370000186";"IBOPE INTELIGENCIA PESQUISA E CONSULTORIA LTDA";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais, com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo. Pesquisa realizada no estado do Paraná.";"Representativa dos votantes da área em estudo, elaborada em três estágios. No primeiro estágio fez-se um sorteio probabilístico dos municípios pesquisados, pelo método PPT (Probabilidade Proporcional ao Tamanho), com base na população de votantes (TSE 2018, excluindo abstenção 1º turno 2010 e 2014) de cada município.  Em um segundo estágio, dentro dos municípios sorteados foram selecionados, também pelo método PPT, os locais de votação com base no número de votantes de cada local de votação. No terceiro estágio, dentro dos locais de votação sorteados, os respondentes foram selecionados através de quotas amostrais, proporcionais em função de variáveis significativas, a saber: Sexo, Idade, de acordo com o perfil dos votantes. Devido à metodologia amostral adotada, a pesquisa é auto-ponderada, ou seja, as proporções do universo pesquisado estão previstas na amostra, não sendo necessário qualquer tipo de ponderação quanto à sexo, idade, grau de instrução e nível econômico.    O intervalo de confiança estimado é de 99% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 03 (três) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra.    ";"Para a realização da pesquisa, utiliza-se uma equipe de entrevistadores e supervisores contratados pelo IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. devidamente treinados para o trabalho. Após os trabalhos de campo, os questionários são submetidos a uma fiscalização de cerca de 20% (vinte por cento) dos questionários aplicados pelos entrevistadores para verificação das respostas e da adequação dos entrevistados aos parâmetros amostrais.    ";"A área de abrangência da coleta é o estado do Paraná. A relação das localidades selecionadas para aplicação da amostra será apresentada até o 7º dia seguinte ao registro da pesquisa, conforme expresso no art. 2º, §6º da Resolução 23.549/2017 do TSE."
"24/08/2022";"00:10:36";"2018";"5";"Eleições Gerais 2018";"PR";"PR";"PARANÁ";"PR064102018";"03/04/2018";"68802370000186";"IBOPE INTELIGENCIA PESQUISA E CONSULTORIA LTDA";"#NULO#";"Governador";"03/04/2018";"09/04/2018";"1008";"6208-A";"Márcia Cavallari Nunes";"94750,00";"81059347000101";"TELECOMUNICACOES CAMPOS DOURADOS LTDA / RADIO CBN CASCAVEL";"Recursos Próprios";"68802370000186";"IBOPE INTELIGENCIA PESQUISA E CONSULTORIA LTDA";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais, com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo. ";"Representativo do eleitorado da área em estudo, elaborada em três estágios. No primeiro estágio faz-se um sorteio probabilístico dos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção. No segundo estágio faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando a população de 16 anos ou mais residente nos setores como base para tal seleção. No terceiro e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber: IDADE: 16-24 (masculino) 17% (feminino) 16%. 25-34 (masculino) 22% (feminino) 20%. 35-44 (masculino) 20% (feminino) 20%. 45-54 (masculino) 19% (feminino) 20%. 55 e+ (masculino) 22% (feminino) 24%. INSTRUÇÃO: Até Ensino Médio (masculino) 80% (feminino) 76%. Ensino Superior (masculino) 20% (feminino) 24%. NÍVEL ECONÔMICO: Economicamente ativo (masculino) 79% (feminino) 56%. Não Economicamente ativo (masculino) 21% (feminino) 44%. Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo). O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 3 (três) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra. FONTE DOS DADOS: Censo 2010 | PNAD 2015 | TSE 2016 | Entre outras.";"Para a realização da pesquisa, utiliza-se uma equipe de entrevistadores e supervisores contratados pelo IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. devidamente treinados para o trabalho. Após os trabalhos de campo, os questionários são submetidos a uma fiscalização de cerca de 20% (vinte por cento) dos questionários aplicados pelos entrevistadores. para verificação das respostas e da adequação dos entrevistados aos parâmetros amostrais.";"A área de abrangência da coleta é o Estado do Paraná. A relação das localidades selecionadas para aplicação da amostra será apresentada até o 7º dia seguinte ao registro da pesquisa, conforme expresso no art. 2º, §6º da Resolução 23.549/2017 do TSE."
