"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_ELEICAO";"NM_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"NR_PROTOCOLO_REGISTRO";"DT_REGISTRO";"NR_CNPJ_EMPRESA";"NM_EMPRESA";"NM_EMPRESA_FANTASIA";"DS_CARGOS";"DT_INICIO_PESQUISA";"DT_FIM_PESQUISA";"QT_ENTREVISTADOS";"CD_CONRE";"NM_ESTATISTICO_RESP";"VR_PESQUISA";"NR_CPF_CNPJ_CONTRATANTE";"NM_CONTRATANTE";"DS_ORIGEM_RECURSO";"NR_CPF_CNPJ_PAGANTE";"NM_PAGANTE_PESQUISA";"DS_METODOLOGIA_PESQUISA";"DS_PLANO_AMOSTRAL";"DS_SISTEMA_CONTROLE";"DS_DADO_MUNICIPIO"
"24/08/2022";"00:10:36";"2018";"5";"Eleições Gerais 2018";"RS";"RS";"RIO GRANDE DO SUL";"RS000322018";"13/10/2018";"29842579000111";"REAL TIME BIG DATA GESTAO DE DADOS LTDA.";"REAL TIME BIG DATA";"Governador";"17/10/2018";"18/10/2018";"1500";"7655";"Augusto da Silva Rocha";"7000,00";"29842579000111";"REAL TIME BIG DATA GESTAO DE DADOS LTDA.";"#NULO#";"29842579000111";"REAL TIME BIG DATA GESTAO DE DADOS LTDA.";"Pesquisa quantitativa, que consiste na realização de entrevistas por telefone, com a aplicação de questionário estruturado junto a uma amostra, representativa do eleitorado em estudo.";"Universo: 8.354.732 eleitores (TSE). Amostra: 1500 entrevistas. Nível de Confiança: 95%. Margem de Erro: até 3 pontos percentuais para mais ou para menos. Divisão Censitária. Ponderação quanto ao sexo e faixa etária: Masculino de 16 a 24 anos (6,5%), Masculino de 25 a 34 anos (9,4%), Masculino de 35 a 44 anos (9,1%), Masculino de 45 a 59 anos (12,3%) e Masculino acima de 59 anos (10,2%). Feminino de 16 a 24 anos (6,6%), Feminino de 25 a 34 anos (9,8%), Feminino de 35 a 44 anos (9,7%), Feminino de 45 a 59 anos (13,5%) e Feminino acima de 59 anos (12,8%). Ponderação quanto ao nível de instrução: 34% de Analfabeto / Fundamental Incompleto, 13% de Lê e escreve / Fundamental Completo, 37% de Médio Incompleto / Médio Completo e 16% de Superior Incompleto / Superior Completo. Ponderação quanto a distribuição por renda mensal domiciliar: 14% até 1 SM, 22% de 1 até 2 SM, 39% de 2 até 5 SM, 17% de 5 até 10 SM e 8% acima de 10 SM. Fonte de Dados: IBGE e TSE 2018.";"Checagem de 20% da amostra efetuada pelos supervisores. Todos os entrevistadores foram amplamente treinados e orientados tanto teoricamente quanto praticamente sobre suas responsabilidade e funções, respeitando as cotas pré-estabelecidas. A equipe está dividida em coordenadoria-geral / supervisores / entrevistadores.";"Em anexo."
"24/08/2022";"00:10:36";"2018";"5";"Eleições Gerais 2018";"RS";"RS";"RIO GRANDE DO SUL";"RS002642018";"23/07/2018";"10735713000157";"IIP INSTITUTO DE PESQUISAS LTDA";"INDEX INSTITUTO DE PESQUISAS";"Governador, Senador";"16/07/2018";"21/07/2018";"1217";"8151";"Juliane Silveira da Silva";"35000,00";"10735713000157";"IIP INSTITUTO DE PESQUISAS LTDA";"#NULO#";"10735713000157";"IIP INSTITUTO DE PESQUISAS LTDA";"Pesquisa quantitativa aleatória, que consiste na realização de entrevistas pessoais, com a aplicação de questionários estruturados e padronizados junto a uma amostra representativa do eleitorado em estudo. ";"Representativa do eleitorado da área em estudo, a amostra é estratificada segundo as variáveis sexo, faixa etária e escolaridade do eleitorado.     Os estratos terão tamanho proporcional a esses segmentos, de acordo com dados do TRE, a saber: sexo (Masculino 47,8%, Feminino 52,2%), idade (16 a 24 anos 13,6%, 25 a 44 anos 38,0%, 45 a 59 anos 25,8%, Mais de 60 anos 22,6%) e escolaridade (Até fundamental incompleto 37,9%, Fundamental Completo 9,6%, Ensino Médio 36,7%, Superior 15,8%). O nível econômico do entrevistado (renda familiar mensal) (até 2 salários mínimos 22,0%, 3 a 5 salários mínimos 35,8%, 6 a 10 salários mínimos 27,3%, Mais de 10 salários mínimos 14,9%)     Ponderação dos resultados: Está prevista eventual ponderação para correção nos tamanhos dos estratos de acordo com os percentuais detalhados anteriormente.     A margem de erro máxima prevista para o total da amostra é de 2,9 pontos percentuais, para mais ou para menos, considerando um nível de confiança de 95%.  ";"Para a realização da pesquisa é utilizada uma equipe de entrevistadores e coordenadores da própria INDEX devidamente treinada para este trabalho. O trabalho da coleta de dados é acompanhado por coordenadores e após os trabalhos de campo os questionários são submetidos a uma fiscalização para verificação e adequação dos mesmos aos parâmetros amostrais. ";"Alvorada, Bagé, Cachoeirinha, Campo Bom, Canoas, Caxias do Sul, Cruz Alta, Eldorado do Sul, Erechim, Garibaldi, Giruá, Gravataí, Lajeado, Montenegro, Nova Santa Rita, Novo Hamburgo, Passo Fundo, Pelotas, Porto Alegre, Rio Grande, Santa Cruz do Sul, Santa Maria, Santiago, São Leopoldo, São Sepé, Soledade, Três Passos, Uruguaiana, Venâncio Aires e Viamão"
"24/08/2022";"00:10:36";"2018";"5";"Eleições Gerais 2018";"RS";"RS";"RIO GRANDE DO SUL";"RS011312018";"06/06/2018";"81908345000140";"INSTITUTO PARANA DE PESQUISAS E ANALISE DE CONSUMIDOR LTDA";"#NULO#";"Governador, Senador";"06/06/2018";"11/06/2018";"1540";"10245";"Tatiani Cristina Ara";"30000,00";"81908345000140";"INSTITUTO PARANA DE PESQUISAS E ANALISE DE CONSUMIDOR LTDA";"#NULO#";"81908345000140";"INSTITUTO PARANA DE PESQUISAS E ANALISE DE CONSUMIDOR LTDA";"Pesquisa com metodologia quantitativa, com a realização de entrevistas utilizando questionário estruturado junto a uma amostra representativa do eleitorado do Estado do Rio Grande do Sul.";"A amostra será representativa dos moradores das áreas pesquisadas e será selecionada em três etapas. Na primeira etapa realiza-se um sorteio probabilístico dos municípios onde as entrevistas serão realizadas através do método PPT (Probabilidade Proporcional ao Tamanho), considerando a população eleitora com 16 anos ou mais residente nos municípios como base para essa seleção. Na segunda etapa, faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, através do método PPT (Probabilidade Proporcional ao Tamanho), tomando a população eleitora de 16 anos ou mais residente nos setores como base para essa seleção. Na terceira etapa, a seleção do entrevistado dentro do setor censitário, será feita utilizando-se quotas amostrais proporcionais, em função das seguintes variáveis:  SEXO:  Masculino - 47%.  Feminino - 53% |  FAIXA ETÁRIA:  Entre 16 e 24 anos: 14%.  Entre 25 e 34 anos: 19%.  Entre 35 e 44 anos: 19%.  Entre 45 e 59 anos: 26%.  Com 60 anos ou mais: 22% |  ESCOLARIDADE:  Até Ensino Médio: 76%.  Ensino Superior: 24% |  NÍVEL ECONÔMICO:  Economicamente Ativo: 69%.  Não Economicamente Ativo: 31%.  Está prevista eventual ponderação para correção das variáveis sexo, faixa etária e escolaridade, com base nos percentuais acima apresentados, caso ocorram diferenças superiores a 3,0 (três) pontos percentuais entre o previsto na amostra e a coleta realizada. Para as variáveis: Nível Econômico e Renda Familiar Mensal, o fator de ponderação é igual a 1, (resultados obtidos no campo). O nível de confiança estimado é de 95% (noventa e cinco por cento) para uma margem de erro máxima estimada, considerando uma técnica de amostragem aleatória simples, de 2,5 (dois vírgula cinco) pontos percentuais para mais ou para menos sobre os resultados obtidos. Fonte de Dados: IBGE e TSE 2018.";"As entrevistas serão realizadas por uma equipe de entrevistadores e supervisores devidamente qualificada pelo Instituto Paraná Pesquisas, com experiência e treinamento em pesquisas de opinião pública. No decorrer do trabalho de coleta de dados, os questionários aplicados serão auditados em aproximadamente 20% (vinte por cento) para verificação quanto ao cuidado na sua aplicação, bem como a adequação do entrevistado às variáveis das quotas amostrais.";"Conforme parágrafo 6º, do art 2º da Resolução TSE nº 23.549/2017,  Até o 7º dia ao registro da pesquisa, será ele (o registro da pesquisa) complementado com dados relativos aos municípios e bairros abrangidos. na ausência de delimitação do bairro, será identificada a área em que foi realizada .   A área de abrangência da coleta de dados é o Estado do Rio Grande do Sul e a relação dos municípios e bairros selecionados para compor a amostra será apresentado até o 7º dia seguinte ao registro da pesquisa, conforme expresso no artigo supracitado."
"24/08/2022";"00:10:36";"2018";"5";"Eleições Gerais 2018";"RS";"RS";"RIO GRANDE DO SUL";"RS013162018";"21/09/2018";"68802370000186";"IBOPE INTELIGENCIA PESQUISA E CONSULTORIA LTDA";"#NULO#";"Governador, Senador";"21/09/2018";"27/09/2018";"1806";"6208-A";"Márcia Cavallari Nunes";"142669,95";"68737857000203";"RBS PARTICIPACOES S A / TELEVISAO GAUCHA S.A.";"Recursos Próprios";"68802370000186";"IBOPE INTELIGENCIA PESQUISA E CONSULTORIA LTDA";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais, com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo. Pesquisa realizada no estado do Rio Grande do Sul.";"Representativo do eleitorado da área em estudo, elaborada em três estágios. No primeiro estágio faz-se um sorteio probabilístico dos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção. No segundo estágio faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando a população de 16 anos ou mais residente nos setores como base para tal seleção. No terceiro e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber: IDADE: 16-24 (masculino) 16% (feminino) 14%. 25-34 (masculino) 21% (feminino) 21%. 35-44 (masculino) 20% (feminino) 21%. 45-54 (masculino) 20% (feminino) 19%. 55 e+ (masculino) 23% (feminino) 26%. INSTRUÇÃO: Até Ensino Médio (masculino) 78% (feminino) 73%. Ensino Superior (masculino) 22% (feminino) 27%. NÍVEL ECONÔMICO: Economicamente ativo (masculino) 77% (feminino) 59%. Não Economicamente ativo (masculino) 23% (feminino) 41%. Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo). O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 03 (três) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra. FONTE DOS DADOS: Censo 2010 | PNADC 2016 | TSE 2018.";"Para a realização da pesquisa, utiliza-se uma equipe de entrevistadores e supervisores contratados pelo IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. devidamente treinados para o trabalho. Após os trabalhos de campo, os questionários são submetidos a uma fiscalização de cerca de 20% (vinte por cento) dos questionários aplicados pelos entrevistadores. para verificação das respostas e da adequação dos entrevistados aos parâmetros amostrais.";"A área de abrangência da coleta é o estado do Rio Grande do Sul. A relação das localidades selecionadas para aplicação da amostra será apresentada até o 7º dia seguinte ao registro da pesquisa, conforme expresso no art. 2º, §6º da Resolução 23.549/2017 do TSE."
"24/08/2022";"00:10:36";"2018";"5";"Eleições Gerais 2018";"RS";"RS";"RIO GRANDE DO SUL";"RS017412018";"11/10/2018";"68802370000186";"IBOPE INTELIGENCIA PESQUISA E CONSULTORIA LTDA";"#NULO#";"Governador";"11/10/2018";"17/10/2018";"1008";"6208-A";"Márcia Cavallari Nunes";"80036,66";"68737857000203";"RBS PARTICIPACOES S A / TELEVISAO GAUCHA S.A.";"Recursos Próprios";"68802370000186";"IBOPE INTELIGENCIA PESQUISA E CONSULTORIA LTDA";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais, com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo. Pesquisa realizada no estado do Rio Grande do Sul.";"Representativo do eleitorado da área em estudo, elaborada em três estágios. No primeiro estágio faz-se um sorteio probabilístico dos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção. No segundo estágio faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando a população de 16 anos ou mais residente nos setores como base para tal seleção. No terceiro e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber: IDADE: 16-24 (masculino) 16% (feminino) 14%. 25-34 (masculino) 21% (feminino) 21%. 35-44 (masculino) 20% (feminino) 21%. 45-54 (masculino) 20% (feminino) 19%. 55 e+ (masculino) 23% (feminino) 26%. INSTRUÇÃO: Até Ensino Médio (masculino) 78% (feminino) 73%. Ensino Superior (masculino) 22% (feminino) 27%. NÍVEL ECONÔMICO: Economicamente ativo (masculino) 77% (feminino) 59%. Não Economicamente ativo (masculino) 23% (feminino) 41%. Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo). O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 03 (três) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra. FONTE DOS DADOS: Censo 2010 | PNADC 2016 | TSE 2018.";"Para a realização da pesquisa, utiliza-se uma equipe de entrevistadores e supervisores contratados pelo IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. devidamente treinados para o trabalho. Após os trabalhos de campo, os questionários são submetidos a uma fiscalização de cerca de 20% (vinte por cento) dos questionários aplicados pelos entrevistadores. para verificação das respostas e da adequação dos entrevistados aos parâmetros amostrais.";"A área de abrangência da coleta é o estado do Rio Grande do Sul. A relação das localidades selecionadas para aplicação da amostra será apresentada até o 7º dia seguinte ao registro da pesquisa, conforme expresso no art. 2º, §6º da Resolução 23.549/2017 do TSE."
"24/08/2022";"00:10:36";"2018";"5";"Eleições Gerais 2018";"RS";"RS";"RIO GRANDE DO SUL";"RS018412018";"01/10/2018";"68802370000186";"IBOPE INTELIGENCIA PESQUISA E CONSULTORIA LTDA";"#NULO#";"Governador, Senador";"01/10/2018";"07/10/2018";"2600";"6208-A";"Márcia Cavallari Nunes";"142669,95";"68802370000186";"IBOPE INTELIGENCIA PESQUISA E CONSULTORIA LTDA";"#NULO#";"68802370000186";"IBOPE INTELIGENCIA PESQUISA E CONSULTORIA LTDA";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais, com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo. Pesquisa realizada no estado de Rio Grande do Sul";"Representativa dos votantes da área em estudo, elaborada em três estágios. No primeiro estágio fez-se um sorteio probabilístico dos municípios pesquisados, pelo método PPT (Probabilidade Proporcional ao Tamanho), com base na população de votantes (TSE 2018, excluindo abstenção 1º turno 2010 e 2014) de cada município.  Em um segundo estágio, dentro dos municípios sorteados foram selecionados, também pelo método PPT, os locais de votação com base no número de votantes de cada local de votação. No terceiro estágio, dentro dos locais de votação sorteados, os respondentes foram selecionados através de quotas amostrais, proporcionais em função de variáveis significativas, a saber: Sexo, Idade, de acordo com o perfil dos votantes. Devido à metodologia amostral adotada, a pesquisa é auto-ponderada, ou seja, as proporções do universo pesquisado estão previstas na amostra, não sendo necessário qualquer tipo de ponderação quanto à sexo, idade, grau de instrução e nível econômico.    O intervalo de confiança estimado é de 99% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 03 (três) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra.    ¿  ";"Para a realização da pesquisa, utiliza-se uma equipe de entrevistadores e supervisores contratados pelo IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. devidamente treinados para o trabalho. Após os trabalhos de campo, os questionários são submetidos a uma fiscalização de cerca de 20% (vinte por cento) dos questionários aplicados pelos entrevistadores para verificação das respostas e da adequação dos entrevistados aos parâmetros amostrais.";"A área de abrangência da coleta é o estado do Rio Grande do Sul. A relação das localidades selecionadas para aplicação da amostra será apresentada até o 7º dia seguinte ao registro da pesquisa, conforme expresso no art. 2º, §6º da Resolução 23.549/2017 do TSE."
"24/08/2022";"00:10:36";"2018";"5";"Eleições Gerais 2018";"RS";"RS";"RIO GRANDE DO SUL";"RS019692018";"11/08/2018";"68802370000186";"IBOPE INTELIGENCIA PESQUISA E CONSULTORIA LTDA";"#NULO#";"Governador, Senador";"11/08/2018";"17/08/2018";"1008";"6208-A";"Márcia Cavallari Nunes";"79629,74";"68737857000203";"RBS PARTICIPACOES S A / TELEVISAO GAUCHA S.A.";"Recursos Próprios";"68802370000186";"IBOPE INTELIGENCIA PESQUISA E CONSULTORIA LTDA";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais, com a aplicação de questionário estruturado junto a uma amostra representativa do eleitorado em estudo. Pesquisa realizada no Estado do Rio Grande do Sul.";"Representativo do eleitorado da área em estudo, elaborada em três estágios. No primeiro estágio faz-se um sorteio probabilístico dos municípios, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando o eleitorado como base para tal seleção. No segundo estágio faz-se um sorteio probabilístico dos setores censitários, onde as entrevistas serão realizadas, pelo método PPT (Probabilidade Proporcional ao Tamanho), tomando a população de 16 anos ou mais residente nos setores como base para tal seleção. No terceiro e último estágio, dentro dos setores sorteados, os respondentes são selecionados através de quotas amostrais proporcionais em função de variáveis significativas, a saber: IDADE: 16-24 (masculino) 16% (feminino) 14%. 25-34 (masculino) 21% (feminino) 21%. 35-44 (masculino) 20% (feminino) 21%. 45-54 (masculino) 20% (feminino) 19%. 55 e+ (masculino) 23% (feminino) 26%. INSTRUÇÃO: Até Ensino Médio (masculino) 78% (feminino) 73%. Ensino Superior (masculino) 22% (feminino) 27%. NÍVEL ECONÔMICO: Economicamente ativo (masculino) 77% (feminino) 59%. Não Economicamente ativo (masculino) 23% (feminino) 41%. Está prevista eventual ponderação para correção das variáveis sexo e idade, com base nos percentuais anteriormente mencionados, caso ocorram diferenças superiores a 3 pontos percentuais entre o previsto na amostra e a coleta de dados realizada. Para as variáveis de grau de instrução e nível econômico do entrevistado, o fator previsto para ponderação é 1 (resultados obtidos em campo). O nível de confiança estimado é de 95% e a margem de erro máxima estimada considerando um modelo de amostragem aleatório simples, é de 03 (três) pontos percentuais para mais ou para menos sobre os resultados encontrados no total da amostra. FONTE DOS DADOS: Censo 2010 | PNADC 2016 | TSE 2018.";"Para a realização da pesquisa, utiliza-se uma equipe de entrevistadores e supervisores contratados pelo IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA. devidamente treinados para o trabalho. Após os trabalhos de campo, os questionários são submetidos a uma fiscalização de cerca de 20% (vinte por cento) dos questionários aplicados pelos entrevistadores. para verificação das respostas e da adequação dos entrevistados aos parâmetros amostrais.";"A área de abrangência da coleta é Rio Grande do Sul. A relação das localidades selecionadas para aplicação da amostra será apresentada até o 7º dia seguinte ao registro da pesquisa, conforme expresso no art. 2º, §6º da Resolução 23.549/2017 do TSE."
"24/08/2022";"00:10:36";"2018";"5";"Eleições Gerais 2018";"RS";"RS";"RIO GRANDE DO SUL";"RS034422018";"22/09/2018";"00853528000103";"INSTITUTO METHODUS ANALISE DE MERCADO SOCIEDADE SIMPLES LIMITADA";"#NULO#";"Governador, Senador";"24/09/2018";"26/09/2018";"400";"8151";"Juliane Silveira Freire da Silva";"15000,00";"87418588000186";"ASSOCIACAO RURAL DE BAGE / ";"Recursos Próprios";"00853528000103";"INSTITUTO METHODUS ANALISE DE MERCADO SOCIEDADE SIMPLES LIMITADA";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais, com aplicação de questionários estruturados e padronizados junto a uma amostra representativa do eleitorado do município de Bagé, RS.";"A amostra é estratificada segundo combinação das variáveis sexo, faixa etária, grau de instrução e nível econômico do eleitorado. Os estratos terão tamanho proporcional a esses segmentos, de acordo com dados do IBGE (2010) e TSE (Eleições 2018) para a área em questão. Os tamanhos desses segmentos são: Sexo masculino: 47%, feminino 53%, 16 a 24 anos: 13%, 25 a 34 anos: 20%, 35 a 44 anos: 18%, 45 a 59 anos: 25%, Acima de 60 anos: 24%. Grau de instrução: até Ensino Médio 88%. Ensino Superior 12%. Nível econômico: Entrevistados com Renda Familiar até 5 Salários Mínimos: 63%, Entrevistados com Renda Familiar acima de 5 Salários Mínimos: 37%. Ponderação dos resultados: Está prevista eventual ponderação para correção nos tamanhos dos estratos, considerando as variáveis sexo e faixa etária, de acordo com os percentuais detalhados anteriormente. Para as variáveis grau de instrução e nível econômico do entrevistado (Renda Familiar Mensal), o fator previsto para ponderação é 1 (resultados obtidos em campo). Margem de Erro: A margem de erro máxima prevista para o total da amostra é de 5 pontos percentuais, para mais ou para menos, considerando um nível de confiança de 95%.";"Para a realização da pesquisa é utilizada uma equipe de pesquisadores e supervisores devidamente treinados pelo INSTITUTO METHODUS ANÁLISE DE MERCADO SOCIEDADE SIMPLES LIMITADA, com experiencia e treinamento em pesquisas de opinião pública. Após os trabalhos de campo, os questionários são submetidos a uma fiscalização de 20% para a verificação das respostas e da adequação das mesmas aos parâmetros amostrais";"A área de abrangência da coleta é o município de Bagé, RS. A relação de bairros selecionados para a aplicação da amostra será apresentada até o sétimo dia seguinte ao registro da pesquisa, conforme expresso na Resolução 23.549/2017."
"24/08/2022";"00:10:36";"2018";"5";"Eleições Gerais 2018";"RS";"RS";"RIO GRANDE DO SUL";"RS037952018";"17/10/2018";"29842579000111";"REAL TIME BIG DATA GESTAO DE DADOS LTDA.";"REAL TIME BIG DATA";"Governador";"22/10/2018";"22/10/2018";"1500";"7655";"Augusto da Silva Rocha";"7000,00";"29842579000111";"REAL TIME BIG DATA GESTAO DE DADOS LTDA.";"#NULO#";"29842579000111";"REAL TIME BIG DATA GESTAO DE DADOS LTDA.";"Pesquisa quantitativa, que consiste na realização de entrevistas por telefone, com a aplicação de questionário estruturado junto a uma amostra, representativa do eleitorado em estudo.";"Universo: 8.354.732 eleitores (TSE). Amostra: 1500 entrevistas. Nível de Confiança: 95%. Margem de Erro: até 3 pontos percentuais para mais ou para menos. Divisão Censitária. Ponderação quanto ao sexo e faixa etária: Masculino de 16 a 24 anos (6,5%), Masculino de 25 a 34 anos (9,4%), Masculino de 35 a 44 anos (9,1%), Masculino de 45 a 59 anos (12,3%) e Masculino acima de 59 anos (10,2%). Feminino de 16 a 24 anos (6,6%), Feminino de 25 a 34 anos (9,8%), Feminino de 35 a 44 anos (9,7%), Feminino de 45 a 59 anos (13,5%) e Feminino acima de 59 anos (12,8%). Ponderação quanto ao nível de instrução: 34% de Analfabeto / Fundamental Incompleto, 13% de Lê e escreve / Fundamental Completo, 37% de Médio Incompleto / Médio Completo e 16% de Superior Incompleto / Superior Completo. Ponderação quanto a distribuição por renda mensal domiciliar: 14% até 1 SM, 22% de 1 até 2 SM, 39% de 2 até 5 SM, 17% de 5 até 10 SM e 8% acima de 10 SM. Fonte de Dados: IBGE e TSE 2018.";"Checagem de 20% da amostra efetuada pelos supervisores. Todos os entrevistadores foram amplamente treinados e orientados tanto teoricamente quanto praticamente sobre suas responsabilidade e funções, respeitando as cotas pré-estabelecidas. A equipe está dividida em coordenadoria-geral / supervisores / entrevistadores.";"Em anexo."
"24/08/2022";"00:10:36";"2018";"5";"Eleições Gerais 2018";"RS";"RS";"RIO GRANDE DO SUL";"RS040002018";"24/04/2018";"00853528000103";"INSTITUTO METHODUS ANALISE DE MERCADO SOCIEDADE SIMPLES LIMITADA";"#NULO#";"Governador, Deputado Estadual, Deputado Federal, Senador";"10/04/2018";"15/04/2018";"400";"8151";"Juliane Silveira Freire da Silva";"16500,00";"95424834000130";"GAZETA DO SUL S A / ";"Recursos Próprios";"00853528000103";"INSTITUTO METHODUS ANALISE DE MERCADO SOCIEDADE SIMPLES LIMITADA";"Pesquisa quantitativa, que consiste na realização de entrevistas pessoais, com aplicação de questionários estruturados e padronizados junto a uma amostra representativa do eleitorado do município de Santa Cruz do Sul, RS.";"A amostra é estratificada segundo combinação das variáveis sexo, faixa etária, grau de instrução e nível econômico do eleitorado. Os estratos terão tamanho proporcional a esses segmentos, de acordo com dados do IBGE (2010) e TSE (Eleições 2016) para a área em questão. Os tamanhos desses segmentos são: Sexo masculino: 47%, feminino 53%, 16 a 24 anos: 13%, 25 a 34 anos: 20%, 35 a 44 anos: 19%, 45 a 59 anos: 26%, Acima de 60 anos: 22%. Grau de instrução: até Ensino Médio 86%. Ensino Superior 14%. Nível econômico: Entrevistados com Renda Familiar até 5 Salários Mínimos: 52%, Entrevistados com Renda Familiar acima de 5 Salários Mínimos: 48%. Ponderação dos resultados: Está prevista eventual ponderação para correção nos tamanhos dos estratos, considerando as variáveis sexo e faixa etária, de acordo com os percentuais detalhados anteriormente. Para as variáveis grau de instrução e nível econômico do entrevistado (Renda Familiar Mensal), o fator previsto para ponderação é 1 (resultados obtidos em campo). Margem de Erro: A margem de erro máxima prevista para o total da amostra é de 5 pontos percentuais, para mais ou para menos, considerando um nível de confiança de 95%.";"Para a realização da pesquisa é utilizada uma equipe de pesquisadores e supervisores devidamente treinados pelo INSTITUTO METHODUS ANÁLISE DE MERCADO SOCIEDADE SIMPLES LIMITADA, com experiencia e treinamento em pesquisas de opinião pública. Após os trabalhos de campo, os questionários são submetidos a uma fiscalização de 20% para a verificação das respostas e da adequação das mesmas aos parâmetros amostrais.";"A área de abrangência da coleta é o município de Santa Cruz do Sul, RS. A relação de bairros selecionados para a aplicação da amostra será apresentada até o sétimo dia seguinte ao registro da pesquisa, conforme expresso no artigo supracitado."
